id;title;title_short;redundant;preferred_version;hardware;aga;ntsc;pal_5x;v_offset;gamepad;lightgun;note;issues;hack;year;country;language;developer;publisher;players;slave_args;slave_version;slave_path;archive_path;category;subcategory;hol_id;lemon_id
demo--8bitjungle--8bitjungle;8-Bit Jungle;8-Bit Jungle;;;OCS;;0;;;;;;;;2011;UK;English;;Unstable Label;1;;v1.01;8BitJungle/8BitJungle.slave;demo/0/8BitJungle_v1.01_UnstableLabel.lha;Demo;Music Disk;;
demo--3dnetanalyzer--3dnetanalyzer;3D-Net-Analyzer;3D-Net-Analyzer;;;OCS;;0;;;;;;;;1989;Germany;English;;Doctor Mabuse Orgasm Crackings;1;;v1.0;3DNetAnalyzer/3DNetAnalyzer.Slave;demo/0/3DNetAnalyzer_v1.0_DoctorMabuseOrgasmCrackings.lha;Demo;Music Disk;;
demo--24hourefix--24hourefix;24 Hour E Fix;24 Hour E Fix;;;OCS;;0;;;;;;;;1992;UK;English;;Quartz;1;;v1.0;24HourEFix/24HourEFix.Slave;demo/0/24HourEFix_v1.0_Quartz.lha;Demo;Music Disk;;
demo--9fingers--9fingers;9 Fingers;9 Fingers;;;OCS;;0;;;;;;;;1990;Norway;English;;Spaceballs;1;;v1.2;9Fingers/9Fingers.Slave;demo/0/9Fingers_v1.2_Spaceballs.lha;Demo;Demo;;
demo--vectordemoprophetsag--vectordemoprophetsag;3D Vector Demo;3D Vector Demo;;;OCS;;0;;;;;;;;1989;Germany;English;;The Prophets AG, Unicorn;1;;v1.0;VectorDemoProphetsAG/VectorDemoProphetsAG.Slave;demo/V/VectorDemo_v1.0_ProphetsAG.lha;Demo;Demo;;
demo--1001stolenideas--1001stolenideas;1001 Stolen Ideas;1001 Stolen Ideas;;;AGA;1;0;;;;;;;;1991;Sweden;English;;Airwalk;1;;v1.01;1001StolenIdeas/1001StolenIdeas.slave;demo/0/1001StolenIdeas_v1.01_Airwalk.lha;Demo;Demo;;
demo--5yards--5yards;5 Yards;5 Yards;1;;OCS;;0;;;;;;;;1991;Netherlands;English;;Vision;1;;v1.0;5Yards/5Yards.Slave;demo/0/5Yards_v1.0_Vision.lha;Demo;Demo;;
demo--2unlimitednolimit--2unlimitednolimit;2 Unlimited: No Limit;2 Unlimited: No Limit;;;OCS;;0;;;;;;;;1993;Netherlands;English;;Project A;1;;v1.0;2UnlimitedNoLimit/2UnlimitedNoLimit.Slave;demo/0/2UnlimitedNoLimit_v1.0_ProjectA.lha;Demo;Music Disk;;
demo--3ddemo2--3ddemo2;3D Demo II;3D Demo II;;;OCS;;0;;;;;;;;1992;Denmark;English;;Anarchy;1;;v1.0;3DDemo2/3DDemo2.Slave;demo/0/3DDemo2_v1.0_Anarchy.lha;Demo;Demo;;
demo--2d--2d;2D;2D;;;OCS;;0;;;;;;;;1993;Germany;English;;Remedy;1;;v1.0;2D/2D.Slave;demo/0/2D_v1.0_Remedy.lha;Demo;Demo;;
demo--3ddemo--3ddemo;3D Demo;3D Demo;;;OCS;;0;;;;;;;;1991;Denmark;English;;Anarchy;1;;v1.0;3DDemo/3DDemo.Slave;demo/0/3DDemo_v1.0_Anarchy.lha;Demo;Demo;;
demo--242--242;242;242;;;OCS;;0;;;;;;;;1993;Finland;English;;Virtual Dreams;1;;v1.2;242/242.slave;demo/0/242_v1.2_Fairlight&VirtualDreams.lha;Demo;Demo;;
demo--3dballs--3dballs;3D Balls;3D Balls;;;OCS;;0;;;;;;;;1989;Switzerland;English;;Avenger;1;;v1.0;3DBalls/3DBalls.Slave;demo/0/3DBalls_v1.0_Avenger.lha;Demo;Demo;;
demo--madness2--madness2;Madness 2: The Search For Sanity;Madness 2;;;OCS;;0;;;;;;;;1991;UK;English;;Anarchy;1;;v1.0;Madness2/Madness2.Slave;demo/M/Madness2_v1.0_Anarchy.lha;Demo;Demo;;
demo--musicdisk1bass--musicdisk1bass;Music Disk;Bass Music Disk;;;OCS;;0;;;;;;;;1991;France;English;;Bass;1;;v1.01;MusicDisk1Bass/MusicDisk1Bass.slave;demo/M/MusicDisk1_v1.01_Bass.lha;Demo;Music Disk;;
demo--megademomanowar--megademomanowar;Megademo One;Manowar Megademo One;;;OCS;;0;;;;;;;;1989;Netherlands;English;;Manowar;1;;v1.0;MegademoManowar/MegademoManowar.Slave;demo/M/Megademo_v1.0_Manowar.lha;Demo;Demo;;
